time_s,undamped,underdamped,critical,overdamped
0.610000,-0.0999838365,0.0349356225,0.1292253027,0.2011328285
0.615000,-0.1044009316,0.0325976085,0.1279018364,0.2003773925
0.620000,-0.1087924228,0.0302807587,0.1265882987,0.1996247710
0.625000,-0.1131572333,0.0279853743,0.1252847006,0.1988749550
0.630000,-0.1174942925,0.0257117475,0.1239910503,0.1981279352
0.635000,-0.1218025369,0.0234601614,0.1227073535,0.1973837026
0.640000,-0.1260809098,0.0212308905,0.1214336131,0.1966422479
0.645000,-0.1303283620,0.0190242002,0.1201698298,0.1959035619
0.650000,-0.1345438518,0.0168403472,0.1189160015,0.1951676353
0.655000,-0.1387263453,0.0146795794,0.1176721240,0.1944344588
0.660000,-0.1428748170,0.0125421360,0.1164381910,0.1937040229
0.665000,-0.1469882493,0.0104282475,0.1152141935,0.1929763184
0.670000,-0.1510656335,0.0083381358,0.1140001208,0.1922513357
0.675000,-0.1551059696,0.0062720144,0.1127959600,0.1915290655
0.680000,-0.1591082667,0.0042300880,0.1116016962,0.1908094984
0.685000,-0.1630715434,0.0022125531,0.1104173125,0.1900926248
0.690000,-0.1669948275,0.0002195977,0.1092427903,0.1893784353
0.695000,-0.1708771570,-0.0017485985,0.1080781090,0.1886669205
0.700000,-0.1747175798,-0.0036918640,0.1069232465,0.1879580708
0.705000,-0.1785151539,-0.0056100358,0.1057781787,0.1872518768
0.710000,-0.1822689481,-0.0075029586,0.1046428801,0.1865483290
0.715000,-0.1859780417,-0.0093704855,0.1035173237,0.1858474180
0.720000,-0.1896415252,-0.0112124776,0.1024014806,0.1851491343
0.725000,-0.1932585000,-0.0130288039,0.1012953209,0.1844534684
0.730000,-0.1968280791,-0.0148193412,0.1001988131,0.1837604108
0.735000,-0.2003493872,-0.0165839742,0.0991119242,0.1830699523
0.740000,-0.2038215606,-0.0183225954,0.0980346201,0.1823820832
0.745000,-0.2072437477,-0.0200351049,0.0969668653,0.1816967943
0.750000,-0.2106151094,-0.0217214104,0.0959086231,0.1810140761
0.755000,-0.2139348187,-0.0233814272,0.0948598558,0.1803339192
0.760000,-0.2172020616,-0.0250150781,0.0938205245,0.1796563143
0.765000,-0.2204160368,-0.0266222931,0.0927905890,0.1789812521
0.770000,-0.2235759561,-0.0282030096,0.0917700084,0.1783087231
0.775000,-0.2266810445,-0.0297571725,0.0907587405,0.1776387182
0.780000,-0.2297305405,-0.0312847333,0.0897567424,0.1769712280
0.785000,-0.2327236962,-0.0327856512,0.0887639702,0.1763062433
0.790000,-0.2356597776,-0.0342598919,0.0877803791,0.1756437549
0.795000,-0.2385380646,-0.0357074284,0.0868059235,0.1749837534
0.800000,-0.2413578514,-0.0371282403,0.0858405569,0.1743262298
0.805000,-0.2441184464,-0.0385223141,0.0848842322,0.1736711749
0.810000,-0.2468191725,-0.0398896428,0.0839369014,0.1730185795
0.815000,-0.2494593675,-0.0412302264,0.0829985159,0.1723684345
0.820000,-0.2520383838,-0.0425440709,0.0820690266,0.1717207308
0.825000,-0.2545555890,-0.0438311892,0.0811483834,0.1710754595
0.830000,-0.2570103657,-0.0450916002,0.0802365360,0.1704326113
0.835000,-0.2594021118,-0.0463253294,0.0793334331,0.1697921774
0.840000,-0.2617302409,-0.0475324082,0.0784390233,0.1691541488
0.845000,-0.2639941820,-0.0487128742,0.0775532545,0.1685185164
0.850000,-0.2661933799,-0.0498667711,0.0766760739,0.1678852714
0.855000,-0.2683272951,-0.0509941485,0.0758074287,0.1672544050
0.860000,-0.2703954044,-0.0520950617,0.0749472654,0.1666259081
0.865000,-0.2723972006,-0.0531695719,0.0740955300,0.1659997720
0.870000,-0.2743321928,-0.0542177461,0.0732521684,0.1653759879
0.875000,-0.2761999063,-0.0552396566,0.0724171260,0.1647545470
0.880000,-0.2779998832,-0.0562353813,0.0715903478,0.1641354405
0.885000,-0.2797316821,-0.0572050036,0.0707717787,0.1635186597
0.890000,-0.2813948781,-0.0581486122,0.0699613631,0.1629041960
0.895000,-0.2829890635,-0.0590663010,0.0691590453,0.1622920406
0.900000,-0.2845138472,-0.0599581690,0.0683647694,0.1616821850
0.905000,-0.2859688553,-0.0608243203,0.0675784791,0.1610746206
0.910000,-0.2873537310,-0.0616648641,0.0668001180,0.1604693386
0.915000,-0.2886681346,-0.0624799142,0.0660296296,0.1598663307
0.920000,-0.2899117438,-0.0632695895,0.0652669571,0.1592655884
0.925000,-0.2910842536,-0.0640340134,0.0645120437,0.1586671030
0.930000,-0.2921853765,-0.0647733140,0.0637648323,0.1580708662
0.935000,-0.2932148423,-0.0654876240,0.0630252660,0.1574768696
0.940000,-0.2941723987,-0.0661770803,0.0622932874,0.1568851047
0.945000,-0.2950578108,-0.0668418243,0.0615688395,0.1562955632
0.950000,-0.2958708614,-0.0674820018,0.0608518648,0.1557082368
0.955000,-0.2966113512,-0.0680977626,0.0601423061,0.1551231172
0.960000,-0.2972790985,-0.0686892605,0.0594401059,0.1545401960
0.965000,-0.2978739397,-0.0692566536,0.0587452070,0.1539594651
0.970000,-0.2983957287,-0.0698001036,0.0580575520,0.1533809162
0.975000,-0.2988443377,-0.0703197762,0.0573770835,0.1528045411
0.980000,-0.2992196566,-0.0708158408,0.0567037442,0.1522303318
0.985000,-0.2995215934,-0.0712884703,0.0560374769,0.1516582800
0.990000,-0.2997500740,-0.0717378415,0.0553782243,0.1510883777
0.995000,-0.2999050424,-0.0721641343,0.0547259294,0.1505206168
1.000000,-0.2999864606,-0.0725675321,0.0540805351,0.1499549893
1.005000,-0.2999943086,-0.0729482218,0.0534419844,0.1493914871
1.010000,-0.2999285845,-0.0733063932,0.0528102205,0.1488301023
1.015000,-0.2997893045,-0.0736422394,0.0521851866,0.1482708270
1.020000,-0.2995765026,-0.0739559565,0.0515668262,0.1477136532
1.025000,-0.2992902311,-0.0742477436,0.0509550827,0.1471585731
1.030000,-0.2989305602,-0.0745178026,0.0503498998,0.1466055787
1.035000,-0.2984975780,-0.0747663382,0.0497512213,0.1460546622
1.040000,-0.2979913908,-0.0749935578,0.0491589913,0.1455058159
1.045000,-0.2974121227,-0.0751996714,0.0485731538,0.1449590320
1.050000,-0.2967599158,-0.0753848915,0.0479936532,0.1444143027
1.055000,-0.2960349300,-0.0755494331,0.0474204340,0.1438716203
1.060000,-0.2952373431,-0.0756935137,0.0468534409,0.1433309772
1.065000,-0.2943673507,-0.0758173527,0.0462926188,0.1427923656
1.070000,-0.2934251662,-0.0759211721,0.0457379129,0.1422557780
1.075000,-0.2924110207,-0.0760051958,0.0451892685,0.1417212067
1.080000,-0.2913251628,-0.0760696498,0.0446466311,0.1411886441
1.085000,-0.2901678589,-0.0761147619,0.0441099466,0.1406580828
1.090000,-0.2889393927,-0.0761407621,0.0435791609,0.1401295152
1.095000,-0.2876400657,-0.0761478819,0.0430542203,0.1396029338
1.100000,-0.2862701963,-0.0761363547,0.0425350713,0.1390783311
1.105000,-0.2848301207,-0.0761064155,0.0420216607,0.1385556998
1.110000,-0.2833201918,-0.0760583006,0.0415139355,0.1380350324
1.115000,-0.2817407801,-0.0759922483,0.0410118430,0.1375163215
1.120000,-0.2800922729,-0.0759084979,0.0405153306,0.1369995598
1.125000,-0.2783750745,-0.0758072901,0.0400243463,0.1364847400
1.130000,-0.2765896060,-0.0756888671,0.0395388381,0.1359718547
1.135000,-0.2747363052,-0.0755534718,0.0390587543,0.1354608968
1.140000,-0.2728156268,-0.0754013488,0.0385840437,0.1349518589
